Source,ZEB1_H,ZEB1,Wee1,UbcH10,U_Kinetochores,Twist,SNAI2,SNAI1,Replication,Rac1,Plk1_H,Plk1,pAPC,PAK1,N_bcatenin_H,miR_34,miR_200,Merlin,Mad2,LEF1,IQGAP1_LeadingE,Horizontal_Pol,FoxM1,f4N_DNA,Emi1,Ect2,Cytokinesis,CyclinB,CyclinA_mRNA,CyclinA,CHK1,Cdk1,Cdh1,Cdc25C,Cdc25B,Cdc25A,Cdc20,b_catenin_TCF4,ATR,A_Kinetochores
CHK1,0.13636159710286863,0.14740014733961454,0.39990882851423115,-0.12034320952401818,-0.21433644839173033,0.1899318245638416,0.12265398392378898,0.18490328850897209,-0.288852170441795,0.2005752363410896,-0.4124440455005319,-0.3868357342769112,-0.38097285573582457,0.20070982584310842,0.08754360792790775,-0.1838626895317036,-0.20460831580502425,-0.19089884474499857,0.07210864388472416,0.18860515818851878,0.20250670846728128,0.1917293233082707,-0.3886956308507781,-0.18313793377392906,0.39508792123383946,0.14765625696604184,0.14970243524140586,-0.08559400528636064,-0.3900411300832114,-0.08130444331492812,-0.2922604937230514,-0.5168766806888652,0.20251036406302664,-0.5320023253757383,-0.3606045068327827,-0.4424475531142565,0.021030909011313402,0.11990848066608169,-0.2904644728481969,-0.28082237072010396
Cdk1,0.05153526760088941,0.045948983315678864,-0.2939202325159957,0.04025358131588116,0.16888074734222575,0.03464905494277879,0.05195668147698829,0.04309940528091424,0.16793767644965651,0.03330526442320173,0.3634629509098234,0.3380911918583035,0.32446259429590874,0.02281940956465315,0.05419867187024628,-0.043206238424252766,-0.0413594241857506,-0.011820000930708735,-0.057846620720234866,0.04273710571338513,0.022496785823845913,0.011687537268932619,0.3375892892389515,0.021065101227035442,-0.3453922345287578,-0.13687790781706824,-0.13800916841004138,0.038918317724723164,0.33950765449345194,-0.05408809444282799,0.17040778892401792,0.3785322493812747,-0.1444568143108567,0.38081622644215396,0.30956900230680173,0.29257668890422256,0.0148064853478975,0.05196673484085358,0.16893406183298462,0.23113449356420812
Cdh1,0.14048658041128678,0.14959685848819582,0.16703043540244827,-0.26065552436572437,-0.16314973126158433,0.2015424685673008,0.11703301155317733,0.19851025452130583,-0.14681778680893906,0.21791810480955998,-0.366981590604538,-0.34374014692623184,-0.2618636264259334,0.21974264867359397,0.0645004738332463,-0.1965051440889911,-0.225117987598564,-0.21729051565377536,0.05998129293538503,0.204607485888133,0.22373794626688862,0.22032331212054715,-0.23416821139292496,-0.1649907816007018,0.2421817456215865,0.23330211484697946,0.23455001618307736,-0.11873967481343069,-0.2362577335587214,-0.05620506310672072,-0.14948738889106128,-0.2732234599374823,0.09289306656950815,-0.283138837195102,-0.2146258758273562,-0.3003255790040053,-0.0932416560319471,0.11181331625509432,-0.1479007704588357,-0.23509557210251755
Cdc25C,0.04622180234173324,0.03847753255351237,-0.2952910234025968,0.04144898884998669,0.16949980236277115,0.02412952873191917,0.047320683124652416,0.034587235968744925,0.16893406183298462,0.02281940956465315,0.3648722677122944,0.3398247763894401,0.3253001057966635,0.011820000930708735,0.052547502018047323,-0.03471129519262498,-0.032349479106338404,-0.002564102564102564,-0.05892422063542622,0.03413528386341264,0.011687537268932619,0.002564102564102564,0.33950765449345194,0.022799817356771158,-0.34727663926979957,-0.13800916841004138,-0.1397946440170808,0.040498340485961015,0.34145861171037034,-0.053733649461633705,0.17230677702190944,0.480487199385714,-0.14557362204759827,0.3829458466129822,0.31185248150063094,0.2944450716361708,0.014616426488867148,0.04750398029634169,0.17040778892401792,0.2328082942376438
Cdc25B,-0.09795210673830212,-0.1103647298060538,-0.2857224049194117,0.21164296074746192,0.18142900842344162,-0.14949448692596382,-0.08655088207814793,-0.1443099468692563,0.2654382565546992,-0.157887583191149,0.5817116873807204,0.4585509264086218,0.3570718733855803,-0.1556984821198868,-0.0535100713631691,0.1435960026005476,0.16135939228835613,0.1391304347826087,-0.08587354388963778,-0.14717718794123782,-0.1566742944317315,-0.1391304347826087,0.458822378024183,0.13406749747787855,-0.36796907754903857,0.017163537743823586,0.014762936974707078,0.26417284697392546,0.45908135676838047,0.04666012575542243,0.26873491270471783,0.49511442226578356,-0.16747041523839493,0.5032638651548078,0.42575354146052574,0.4117854146406497,-0.004282254891977944,-0.08445848651632851,0.26722870873683247,0.248892031778559
Cdc25A,-0.30347048330491655,-0.30832027980726173,-0.18230835406800078,0.2521541787343861,0.19309432361627427,-0.35441294818686975,-0.26667030123457175,-0.3602500414062987,0.29598356885503124,-0.3726678865525414,0.4793973049492687,0.4481230494964564,0.358552338652505,-0.357497372635946,-0.19265756828813874,0.35719867844956876,0.3908844909045641,0.3280024231409965,-0.10341517079938892,-0.3685279543433824,-0.36151258506021666,-0.3302899839886141,0.46143201803228634,0.2571005932121924,-0.3702843269779915,-0.12279389560821971,-0.12462376172016043,0.18261979221778213,0.4626385214315338,0.17295243010782685,0.29893017994804427,0.24366297310329896,-0.30227653418624717,0.398151113333933,0.4298783530984417,0.3186181317273497,0.05911640447552243,-0.25661915426412135,0.29740205172742523,0.2662820916185066
Cdc20,0.15235778361172367,0.16133938081832194,0.3254198775115555,0.001408619711455629,-0.049519099756880625,0.20210441567698986,0.1350146663690123,0.20216769625785988,-0.1778678799197836,0.2136215502441646,-0.4041250234774402,-0.38228674037286814,-0.10628167708798397,0.20711143631717088,0.09172437919960387,-0.2008762999862499,-0.22335596069461178,-0.19070723684210528,0.24717221546425386,0.20646128856659202,0.20915446303140892,0.1917408906882591,-0.3835696293867799,-0.17262660869706553,0.3589355083500567,0.21778789825839157,0.2194738352909312,-0.31983706720264404,-0.38384107570964515,-0.08317042888783188,-0.18015205404862475,-0.43444101742020597,0.19833016765671785,-0.43606721463666354,-0.3507196565596628,-0.34079802398483183,0.05199022051636326,0.13123824639995452,-0.17911290785531345,-0.3719373505679896
b_catenin_TCF4,0.9,0.9,0,0,0,0.8,0.8,0.9,0,0.8,0,0,0,0.7,0.8,-0.9,-0.9,-0.6,0,0.9,0.7,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0
ATR,0.1424256681846539,0.1540725413831426,0.4010615713227478,-0.12210041435213766,-0.21525239206972774,0.19225425209393146,0.12904404667190014,0.19031192797289453,-0.2904644728481969,0.20070982584310842,-0.40999680139103034,-0.3877827197964362,-0.3790900370178392,0.19089884474499857,0.09171484404559083,-0.18954972164954953,-0.2085439907944445,-0.1619047619047619,0.07307284043542578,0.19345784449701098,0.1917293233082707,0.1619047619047619,-0.3900411300832114,-0.18683016451561502,0.39613699310789363,0.14970243524140586,0.15220997899517774,-0.08910419662813508,-0.38931787474800245,-0.08347983660232375,-0.19353693427739133,-0.5173040810811902,0.20478593469530676,-0.5328520237939631,-0.36170001707526256,-0.4446244882411782,0.023040941619484317,0.12665584770711652,-0.2922604937230514,-0.28318813618858474
A_Kinetochores,0.24178819236275917,0.24557327928590983,0.25115189761458817,-0.06598522675191346,-0.2883092747459265,0.2785811123921162,0.21783952705230064,0.2889251068592019,-0.20355523619624064,0.29056979083023937,-0.3286151617466115,-0.30835864800636015,-0.029287147373597992,0.26871548619447777,0.16179544321850792,-0.2872414965308302,-0.3119045130137843,-0.23266106442577028,-0.157513457358894,0.2941540031003795,0.27067001667431473,0.23347993402968664,-0.3193010657997259,-0.09117812712454035,0.16337337977634628,0.05256413698549215,0.05376615121248703,-0.2112947539902454,-0.3173619557294683,-0.14780441266483363,-0.2040134990252612,-0.27507965646551924,0.20293459905747485,-0.2405692162586872,-0.20287741149893326,-0.27391682881773344,0.125383721026607,0.2119981244325587,-0.20420003251103053,-0.1151129440627316
